,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,comp21,comp22,comp23
C,0.43130657100036573,0.7908718231674201,0.9465768005631763,0.9775129918766262,0.9779834650658837,0.9813748661647804,0.9814490886975655,0.9814906416521113,0.981531529482476,0.9818727019236114,0.9821257800743171,0.9826325810355709,0.9830008094385964,0.9830473592637544,0.9837089643264341,0.9837218937680464,0.9838729608185256,0.9879550151143367,0.987955037332434,0.9881927156851591,0.9927027557006438,0.9999900635526903,1.0000000000000004
C_Test,0.28986626458503806,0.36127386826365937,0.6993463317221303,0.7680240033189742,0.7910191012956941,0.7966929739359717,0.7996749243206691,0.8008301910480318,0.8026268496489208,0.8163572026002736,0.8168367393735394,0.8202399719337372,0.854637717484764,0.9219090385693776,0.9959801025445025,0.9972923857204624,0.9973261256142983,0.9999566931996344,0.9999619830319102,0.9999621082469654,0.9999931778968824,0.9999933073302146,1.0000000000000016
Html,0.555654524696961,0.7713957315856731,0.8731240677244507,0.9028576244928712,0.9081908536524577,0.9122365767925226,0.912668044563032,0.9130844930485604,0.9207835072183407,0.921453297074182,0.9371953590193353,0.9465139498346203,0.9474681699584562,0.9528542956083265,0.9793822464213615,0.9824875685429795,0.9826468043406155,0.9862166263489927,0.9865818348101025,0.999089176562573,0.9996076917717863,0.9997905623888502,0.9999999999999997
Html_test,0.2654635424661538,0.7385855128454033,0.9110106671142886,0.9560390960831263,0.9583297986326537,0.9636546210602105,0.9653513830176458,0.966172802514409,0.9662463931926609,0.9663530206927393,0.9736956589106446,0.976838337201388,0.9768991123733549,0.9794402776939597,0.9893606640941828,0.9908060519765303,0.9911100206681778,0.9947782529448954,0.9949481472797436,0.9966300495209675,0.9969723732907371,0.9984298935409386,0.9999999999999988
Java,0.6207134382818758,0.8874584479767713,0.9262925930561224,0.9326175555865095,0.9326434094838558,0.9407627226487719,0.9433687800980376,0.9436572509145835,0.9441495594016839,0.9442127063638419,0.9442454455611118,0.9442596298843515,0.9442997317243919,0.9448301131599554,0.9586521891926726,0.9608004643355044,0.9621156203235117,0.9958427744823445,0.9962596399782457,0.9965753913676609,0.998140643291943,0.999927838051888,0.9999999999999998
Java_test,0.3499684454039584,0.36209843170833306,0.6241577486025693,0.6655860320039173,0.677729820121819,0.6848746101886453,0.6900389933373883,0.6900548535569175,0.6902210111085292,0.7878744281210783,0.7987484554187781,0.8847310115758235,0.8969597509590497,0.9913207249627934,0.9916988633312485,0.9995051395517425,0.9997827090787405,0.9998600923083425,0.9998892513891798,0.9999521463080512,0.9999643952543064,0.9999916507447623,1.0000000000000016
PHP,0.6332983993091231,0.7899550499988449,0.8636410421993597,0.8795728813545052,0.8848292534663114,0.8890788277378003,0.8904327796818382,0.8916705846392292,0.8949252079472566,0.8949835824692298,0.9296732384667522,0.9367398814779507,0.9386848294154266,0.9490788120931183,0.9830090539486789,0.9846693669473436,0.9846732174402434,0.988780372340689,0.9898257841897747,0.999087989807868,0.9992804291300542,0.9995600296921113,0.9999999999999997
PHP_test,0.3112405458776152,0.7684375554318696,0.9125236759684369,0.9597423010753074,0.9604943150316743,0.9632605419402774,0.9645774491278238,0.9651644709437264,0.9653017200119369,0.9663584642018139,0.9684072421489281,0.9687497193323312,0.9687536991744591,0.9701651209236525,0.9812239992787591,0.9843885113514215,0.984967009119998,0.99527524856389,0.9960037410558186,0.9980589895183036,0.9983848321515698,0.9985079332345183,1.0000000000000002
InternetPenetration,0.5481260964152551,0.7086287544500554,0.7750211400368203,0.8352532206902501,0.8398971332480994,0.8918647633092474,0.8988197976975079,0.9061509901328707,0.9075386637765275,0.9077103606627815,0.9077571164499876,0.919953889974841,0.9733569733910549,0.9813083941167062,0.9828611404581823,0.9873484302795009,0.9888608448220793,0.9889352603884076,0.9889815771987148,0.9899003312500045,0.9984208564102472,0.9999998221024932,1.0
InternetUsers,0.557948279926234,0.7211933450953064,0.779704040554205,0.8314162573056867,0.8319446365006105,0.880481751202351,0.8968367961650479,0.9030162222311496,0.9039420074479085,0.9042167803477715,0.9054166879646289,0.9211463984676828,0.9689171223683033,0.9817990163959891,0.983478753120069,0.9873559668212369,0.9888171237714165,0.9891001119845593,0.9892068865105617,0.9899558831060946,0.9982527595290202,0.9999982237464686,1.0000000000000002
UploadSpeed,0.1947427117813603,0.31880366907076896,0.3407668486982126,0.475844524024682,0.7453224851133999,0.8129405281400145,0.882843135481917,0.9481421217118372,0.9576710922362751,0.9626748352633734,0.9643015744308385,0.9677768946541708,0.9680778257126488,0.9684664859786045,0.9685930157563172,0.9719294371900176,0.9978466940897819,0.9981947433007167,0.9994459774611011,0.999490946487619,0.9998727478402603,0.9999997871894519,1.0000000000000002
Download,0.352655920671081,0.5792183153982587,0.5807327936044127,0.6506607164971806,0.79097126673157,0.8405339521425479,0.8781918324845482,0.9390998424122151,0.950397298738163,0.954588150874134,0.9546775831840549,0.9549744976551389,0.956412840746536,0.9568121155648371,0.956814649255457,0.9585086389949141,0.9975392370588031,0.9977381735186723,0.9996771190186616,0.9996815166649609,0.9999102145510096,0.9999999086767475,0.9999999999999992
FixedBroadbandSubscriptions,0.5793683380107132,0.768989584656288,0.8100177014978398,0.8262846457455337,0.8283520554066651,0.844523928244863,0.8594218253429378,0.8597243289539167,0.8681124323050948,0.8760335188668731,0.876294065090395,0.8867883813223899,0.8914087231471362,0.8969223156068861,0.9210172838291778,0.9963507173795085,0.9988980066339553,0.9998695696090371,0.9998734954397644,0.9999532782643987,0.9999811611620019,0.9999975473487271,0.9999999999999994
ChargesIntellProperty,0.06904411907624228,0.12826201753621752,0.1403175536742162,0.14471100935010808,0.1605298544924816,0.1894067854651151,0.8059559301548085,0.8692545840422538,0.8802754651417567,0.8930699611412564,0.9452370386595191,0.9977612989723327,0.9983828602152129,0.9985669487303954,0.9992529135430763,0.9996031157875209,0.9996229618501222,0.9999843616320324,0.99999327345088,0.9999941224677082,0.9999965128791245,0.9999994650224526,0.9999999999999993
GovernmentExpenditureOnEducation,0.0028913479845729334,0.00817873938646766,0.02554540769687316,0.18278396155454582,0.19295771372884876,0.7022835316752746,0.7025084476450142,0.7984145441308418,0.8821241623712907,0.9079287516783189,0.9555507161115803,0.9948412748911076,0.9950341679981684,0.996079108272176,0.9996749847914808,0.9999403417854794,0.9999504258477404,0.9999990607667407,0.9999990841127783,0.9999998229196622,0.9999998248025413,0.9999999799267514,1.0000000000000002
GrossEnrolmentRatio,0.38028735635547445,0.5098944596860153,0.5101278078216293,0.5695425393394374,0.5700389530598613,0.5702492273247596,0.6112164547188805,0.6498508887832346,0.6632509249611569,0.6645697010185874,0.8779720910498855,0.8872873515540034,0.959439194784319,0.996004046316409,0.9973456198955466,0.9998353137572104,0.9998650605533117,0.9998776784089931,0.9999821155172913,0.9999853860373838,0.9999952684811678,0.9999964700306343,1.0000000000000004
HighTechnologyExports,0.056595316876095765,0.19191120159671954,0.19194730620767791,0.23748280573521327,0.2584595088503262,0.36711754579290895,0.3695381600144379,0.5865080077605243,0.9714648502099941,0.9889130936365733,0.9908983302770383,0.9984292789508843,0.9987017210407094,0.999069055985181,0.9993182238052288,0.9999195793582648,0.9999516710607245,0.9999877340961443,0.9999933771105363,0.9999936250366126,0.9999999155845106,0.9999999932622242,1.0000000000000013
GINIindex,0.3120588344618886,0.3623052278509748,0.5236223415014574,0.6238698436777186,0.9448763059919261,0.9505046795418921,0.9513559769351019,0.9546392111765496,0.9553796824114404,0.965657504011625,0.9659267710869331,0.9708652978035733,0.9708658073803299,0.9723580343636657,0.9734762750573316,0.9735782684881348,0.9753554409473174,0.9762791339121029,0.9993388960359847,0.9999173427736782,0.9999973205798239,0.9999976797008161,0.9999999999999996
IncomeShareLow20,0.2320665507242939,0.2594643792826943,0.4476707289484147,0.5954387572381106,0.9485128614243663,0.9587269556118599,0.9588275709217252,0.9650168000639269,0.9650574981015618,0.9679836748134935,0.9695678193826269,0.9733877429651182,0.973414927704027,0.9739720888239578,0.9747803171179172,0.9757466217612156,0.9777158101146176,0.9782937473304598,0.9994882296130917,0.9999226550157382,0.9999940334946931,0.9999979135876265,0.9999999999999991
SurveyMeanIncome,0.16664510595946733,0.42893086205774467,0.5338502362813717,0.5507997407455064,0.6027179962233907,0.6468590956748571,0.7041900751171336,0.7142681970337716,0.7462723857937484,0.7495701845026053,0.7515244776792034,0.9332256849336017,0.9435502521487732,0.982638446801715,0.9975612066646573,0.9980394099963789,0.99900724036603,0.9997630055838166,0.9998439778837112,0.9999989525691385,0.9999997811302511,0.9999999999654455,1.000000000000001
Unemployment,0.006073903996496592,0.06359089288963712,0.0687200232955441,0.5453358086394725,0.5465549924681066,0.5845100046919255,0.5847211285737485,0.6753704808874214,0.6906810661034422,0.9784624720195443,0.9786834928981685,0.9789221776691518,0.9810583077144686,0.9943232783248063,0.9995687151259414,0.9998893239894837,0.9998920797130424,0.9999175590215138,0.9999774107644563,0.999999336146617,0.9999995621653571,0.9999998156783821,0.9999999999999993
UnemploymentTertiaryEducation,0.12351956521271648,0.12602721931278926,0.18940146652932224,0.2347282630363353,0.30209761991567163,0.36919042670026414,0.49584925581893036,0.7097727577828743,0.8623152966812822,0.9862181189188128,0.9878893997725552,0.9891852194545917,0.9891894780116661,0.997711109976934,0.9985888395413793,0.9998328279621294,0.9998474053887273,0.9999159197422691,0.9999964144158608,0.999997149741676,0.9999998936553629,0.9999999225250022,1.0000000000000002
GDP_BM,0.2518081905229542,0.48883697056599534,0.5937354716360826,0.5946648352521974,0.5946677452549499,0.6915296921683493,0.7151296661133357,0.7279837479397989,0.7291789025986254,0.7312700572930253,0.8801394274498068,0.8815444647503449,0.9725248252961693,0.9733616208245125,0.9849454334459805,0.9988016008966043,0.99897362512839,0.9997722647828354,0.9997734326970518,0.9998990074258345,0.9999636490891137,0.9999997387137773,0.9999999999999991
